Title,Link,Difficulty,Topic
"Reachable Nodes With Restrictions","https://leetcode.com/problems/reachable-nodes-with-restrictions","MEDIUM","Array, Hash Table, Tree, Depth-First Search, Breadth-First Search, Union Find, Graph"
"Length of Longest Subarray With at Most K Frequency","https://leetcode.com/problems/length-of-longest-subarray-with-at-most-k-frequency","MEDIUM","Array, Hash Table, Sliding Window"
"Sum Of Special Evenly-Spaced Elements In Array","https://leetcode.com/problems/sum-of-special-evenly-spaced-elements-in-array","HARD","Array, Dynamic Programming"
"Longest Ideal Subsequence","https://leetcode.com/problems/longest-ideal-subsequence","MEDIUM","Hash Table, String, Dynamic Programming"
"First Missing Positive","https://leetcode.com/problems/first-missing-positive","HARD","Array, Hash Table"
"Cheapest Flights Within K Stops","https://leetcode.com/problems/cheapest-flights-within-k-stops","MEDIUM","Dynamic Programming, Depth-First Search, Breadth-First Search, Graph, Heap (Priority Queue), Shortest Path"
"Merge Intervals","https://leetcode.com/problems/merge-intervals","MEDIUM","Array, Sorting"
"Trapping Rain Water","https://leetcode.com/problems/trapping-rain-water","HARD","Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
"Jump Game","https://leetcode.com/problems/jump-game","MEDIUM","Array, Dynamic Programming, Greedy"
"Minimum Window Substring","https://leetcode.com/problems/minimum-window-substring","HARD","Hash Table, String, Sliding Window"
"Generate Parentheses","https://leetcode.com/problems/generate-parentheses","MEDIUM","String, Dynamic Programming, Backtracking"
"Search a 2D Matrix II","https://leetcode.com/problems/search-a-2d-matrix-ii","MEDIUM","Array, Binary Search, Divide and Conquer, Matrix"
"Longest Palindromic Substring","https://leetcode.com/problems/longest-palindromic-substring","MEDIUM","Two Pointers, String, Dynamic Programming"
"Word Search","https://leetcode.com/problems/word-search","MEDIUM","Array, String, Backtracking, Depth-First Search, Matrix"
"Regular Expression Matching","https://leetcode.com/problems/regular-expression-matching","HARD","String, Dynamic Programming, Recursion"
"Implement Trie (Prefix Tree)","https://leetcode.com/problems/implement-trie-prefix-tree","MEDIUM","Hash Table, String, Design, Trie"
"Min Stack","https://leetcode.com/problems/min-stack","MEDIUM","Stack, Design"
"Edit Distance","https://leetcode.com/problems/edit-distance","MEDIUM","String, Dynamic Programming"
"Sliding Window Maximum","https://leetcode.com/problems/sliding-window-maximum","HARD","Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
"Product of Array Except Self","https://leetcode.com/problems/product-of-array-except-self","MEDIUM","Array, Prefix Sum"
"Evaluate Division","https://leetcode.com/problems/evaluate-division","MEDIUM","Array, String, Depth-First Search, Breadth-First Search, Union Find, Graph, Shortest Path"
"Longest Valid Parentheses","https://leetcode.com/problems/longest-valid-parentheses","HARD","String, Dynamic Programming, Stack"
"Longest Substring Without Repeating Characters","https://leetcode.com/problems/longest-substring-without-repeating-characters","MEDIUM","Hash Table, String, Sliding Window"
"Reverse Nodes in k-Group","https://leetcode.com/problems/reverse-nodes-in-k-group","HARD","Linked List, Recursion"
"Increasing Triplet Subsequence","https://leetcode.com/problems/increasing-triplet-subsequence","MEDIUM","Array, Greedy"
"Majority Element","https://leetcode.com/problems/majority-element","EASY","Array, Hash Table, Divide and Conquer, Sorting, Counting"
"Jump Game II","https://leetcode.com/problems/jump-game-ii","MEDIUM","Array, Dynamic Programming, Greedy"
"Find First and Last Position of Element in Sorted Array","https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array","MEDIUM","Array, Binary Search"
"Insert Delete GetRandom O(1)","https://leetcode.com/problems/insert-delete-getrandom-o1","MEDIUM","Array, Hash Table, Math, Design, Randomized"
