Title,Link,Difficulty,Topic
"Rank Teams by Votes","https://leetcode.com/problems/rank-teams-by-votes","MEDIUM","Array, Hash Table, String, Sorting, Counting"
"Design Snake Game","https://leetcode.com/problems/design-snake-game","MEDIUM","Array, Hash Table, Design, Queue, Simulation"
"Stock Price Fluctuation","https://leetcode.com/problems/stock-price-fluctuation","MEDIUM","Hash Table, Design, Heap (Priority Queue), Data Stream, Ordered Set"
"All O`one Data Structure","https://leetcode.com/problems/all-oone-data-structure","HARD","Hash Table, Linked List, Design, Doubly-Linked List"
"High-Access Employees","https://leetcode.com/problems/high-access-employees","MEDIUM","Array, Hash Table, String, Sorting"
"Logger Rate Limiter","https://leetcode.com/problems/logger-rate-limiter","EASY","Hash Table, Design, Data Stream"
"Merge Intervals","https://leetcode.com/problems/merge-intervals","MEDIUM","Array, Sorting"
"Maximum Good Subarray Sum","https://leetcode.com/problems/maximum-good-subarray-sum","MEDIUM","Array, Hash Table, Prefix Sum"
"Minimum Cost to Convert String I","https://leetcode.com/problems/minimum-cost-to-convert-string-i","MEDIUM","Array, String, Graph, Shortest Path"
"Minimum Cost to Convert String II","https://leetcode.com/problems/minimum-cost-to-convert-string-ii","HARD","Array, String, Dynamic Programming, Graph, Trie, Shortest Path"
"Maximum Square Area by Removing Fences From a Field","https://leetcode.com/problems/maximum-square-area-by-removing-fences-from-a-field","MEDIUM","Array, Hash Table, Enumeration"
"Meeting Rooms II","https://leetcode.com/problems/meeting-rooms-ii","MEDIUM","Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
"Maximum Area of Longest Diagonal Rectangle","https://leetcode.com/problems/maximum-area-of-longest-diagonal-rectangle","EASY","Array"
"Number of Possible Sets of Closing Branches","https://leetcode.com/problems/number-of-possible-sets-of-closing-branches","HARD","Bit Manipulation, Graph, Heap (Priority Queue), Enumeration, Shortest Path"
"Verbal Arithmetic Puzzle","https://leetcode.com/problems/verbal-arithmetic-puzzle","HARD","Array, Math, String, Backtracking"
"Cherry Pickup","https://leetcode.com/problems/cherry-pickup","HARD","Array, Dynamic Programming, Matrix"
"Smallest Missing Non-negative Integer After Operations","https://leetcode.com/problems/smallest-missing-non-negative-integer-after-operations","MEDIUM","Array, Hash Table, Math, Greedy"
"Make Lexicographically Smallest Array by Swapping Elements","https://leetcode.com/problems/make-lexicographically-smallest-array-by-swapping-elements","MEDIUM","Array, Union Find, Sorting"
"Minimum Time to Visit a Cell In a Grid","https://leetcode.com/problems/minimum-time-to-visit-a-cell-in-a-grid","HARD","Array, Breadth-First Search, Graph, Heap (Priority Queue), Matrix, Shortest Path"
"Find the Width of Columns of a Grid","https://leetcode.com/problems/find-the-width-of-columns-of-a-grid","EASY","Array, Matrix"
"Group Anagrams","https://leetcode.com/problems/group-anagrams","MEDIUM","Array, Hash Table, String, Sorting"
"Text Justification","https://leetcode.com/problems/text-justification","HARD","Array, String, Simulation"
"Design File System","https://leetcode.com/problems/design-file-system","MEDIUM","Hash Table, String, Design, Trie"
"Longest String Chain","https://leetcode.com/problems/longest-string-chain","MEDIUM","Array, Hash Table, Two Pointers, String, Dynamic Programming, Sorting"
"Longest Increasing Subsequence","https://leetcode.com/problems/longest-increasing-subsequence","MEDIUM","Array, Binary Search, Dynamic Programming"
"Lowest Common Ancestor of a Binary Tree","https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree","MEDIUM","Tree, Depth-First Search, Binary Tree"
"Majority Element II","https://leetcode.com/problems/majority-element-ii","MEDIUM","Array, Hash Table, Sorting, Counting"
"Koko Eating Bananas","https://leetcode.com/problems/koko-eating-bananas","MEDIUM","Array, Binary Search"
"Best Time to Buy and Sell Stock","https://leetcode.com/problems/best-time-to-buy-and-sell-stock","EASY","Array, Dynamic Programming"
"Can Place Flowers","https://leetcode.com/problems/can-place-flowers","EASY","Array, Greedy"
"String Transformation","https://leetcode.com/problems/string-transformation","HARD","Math, String, Dynamic Programming, String Matching"
"Online Election","https://leetcode.com/problems/online-election","MEDIUM","Array, Hash Table, Binary Search, Design"
