Title,Link,Difficulty,Topic
"Text Justification","https://leetcode.com/problems/text-justification","HARD","Array, String, Simulation"
"Palindrome Pairs","https://leetcode.com/problems/palindrome-pairs","HARD","Array, Hash Table, String, Trie"
"Maximum Profit in Job Scheduling","https://leetcode.com/problems/maximum-profit-in-job-scheduling","HARD","Array, Binary Search, Dynamic Programming, Sorting"
"Flatten 2D Vector","https://leetcode.com/problems/flatten-2d-vector","MEDIUM","Array, Two Pointers, Design, Iterator"
"Combination Sum","https://leetcode.com/problems/combination-sum","MEDIUM","Array, Backtracking"
"Smallest Common Region","https://leetcode.com/problems/smallest-common-region","MEDIUM","Array, Hash Table, String, Tree, Depth-First Search, Breadth-First Search"
"Pour Water","https://leetcode.com/problems/pour-water","MEDIUM","Array, Simulation"
"Cheapest Flights Within K Stops","https://leetcode.com/problems/cheapest-flights-within-k-stops","MEDIUM","Dynamic Programming, Depth-First Search, Breadth-First Search, Graph, Heap (Priority Queue), Shortest Path"
"Trapping Rain Water","https://leetcode.com/problems/trapping-rain-water","HARD","Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
"Alien Dictionary","https://leetcode.com/problems/alien-dictionary","HARD","Array, String, Depth-First Search, Breadth-First Search, Graph, Topological Sort"
"Sliding Puzzle","https://leetcode.com/problems/sliding-puzzle","HARD","Array, Dynamic Programming, Backtracking, Breadth-First Search, Memoization, Matrix"
"Simple Bank System","https://leetcode.com/problems/simple-bank-system","MEDIUM","Array, Hash Table, Design, Simulation"
"Shortest Path to Get All Keys","https://leetcode.com/problems/shortest-path-to-get-all-keys","HARD","Array, Bit Manipulation, Breadth-First Search, Matrix"
"Minimum Window Substring","https://leetcode.com/problems/minimum-window-substring","HARD","Hash Table, String, Sliding Window"
"Employee Free Time","https://leetcode.com/problems/employee-free-time","HARD","Array, Line Sweep, Sorting, Heap (Priority Queue)"
"Add Two Numbers","https://leetcode.com/problems/add-two-numbers","MEDIUM","Linked List, Math, Recursion"
"Word Search II","https://leetcode.com/problems/word-search-ii","HARD","Array, String, Backtracking, Trie, Matrix"
"Maximum Candies You Can Get from Boxes","https://leetcode.com/problems/maximum-candies-you-can-get-from-boxes","HARD","Array, Breadth-First Search, Graph"
"Basic Calculator II","https://leetcode.com/problems/basic-calculator-ii","MEDIUM","Math, String, Stack"
"Contains Duplicate II","https://leetcode.com/problems/contains-duplicate-ii","EASY","Array, Hash Table, Sliding Window"
"Two Sum","https://leetcode.com/problems/two-sum","EASY","Array, Hash Table"
"Intersection of Two Linked Lists","https://leetcode.com/problems/intersection-of-two-linked-lists","EASY","Hash Table, Linked List, Two Pointers"
"Contains Duplicate","https://leetcode.com/problems/contains-duplicate","EASY","Array, Hash Table, Sorting"
"Mini Parser","https://leetcode.com/problems/mini-parser","MEDIUM","String, Stack, Depth-First Search"
"Regular Expression Matching","https://leetcode.com/problems/regular-expression-matching","HARD","String, Dynamic Programming, Recursion"
"Valid Parentheses","https://leetcode.com/problems/valid-parentheses","EASY","String, Stack"
"Pyramid Transition Matrix","https://leetcode.com/problems/pyramid-transition-matrix","MEDIUM","Bit Manipulation, Depth-First Search, Breadth-First Search"
"Merge k Sorted Lists","https://leetcode.com/problems/merge-k-sorted-lists","HARD","Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
"IP to CIDR","https://leetcode.com/problems/ip-to-cidr","MEDIUM","String, Bit Manipulation"
"Strings Differ by One Character","https://leetcode.com/problems/strings-differ-by-one-character","MEDIUM","Hash Table, String, Rolling Hash, Hash Function"
"Minimum Number of Vertices to Reach All Nodes","https://leetcode.com/problems/minimum-number-of-vertices-to-reach-all-nodes","MEDIUM","Graph"
"Robot Bounded In Circle","https://leetcode.com/problems/robot-bounded-in-circle","MEDIUM","Math, String, Simulation"
"Add Strings","https://leetcode.com/problems/add-strings","EASY","Math, String, Simulation"
"Minimize Rounding Error to Meet Target","https://leetcode.com/problems/minimize-rounding-error-to-meet-target","MEDIUM","Array, Math, String, Greedy, Sorting"
"Minimum Number of Flips to Convert Binary Matrix to Zero Matrix","https://leetcode.com/problems/minimum-number-of-flips-to-convert-binary-matrix-to-zero-matrix","HARD","Array, Hash Table, Bit Manipulation, Breadth-First Search, Matrix"
"Number of Ways to Build House of Cards","https://leetcode.com/problems/number-of-ways-to-build-house-of-cards","MEDIUM","Math, Dynamic Programming"
"Happy Number","https://leetcode.com/problems/happy-number","EASY","Hash Table, Math, Two Pointers"
