Title,Link,Difficulty,Topic
"Longest Palindromic Substring","https://leetcode.com/problems/longest-palindromic-substring","MEDIUM","Two Pointers, String, Dynamic Programming"
"Predict the Winner","https://leetcode.com/problems/predict-the-winner","MEDIUM","Array, Math, Dynamic Programming, Recursion, Game Theory"
"House Robber","https://leetcode.com/problems/house-robber","MEDIUM","Array, Dynamic Programming"
"Lucky Numbers in a Matrix","https://leetcode.com/problems/lucky-numbers-in-a-matrix","EASY","Array, Matrix"
"Rotate Image","https://leetcode.com/problems/rotate-image","MEDIUM","Array, Math, Matrix"
"Spiral Matrix","https://leetcode.com/problems/spiral-matrix","MEDIUM","Array, Matrix, Simulation"
"Fizz Buzz","https://leetcode.com/problems/fizz-buzz","EASY","Math, String, Simulation"
"LRU Cache","https://leetcode.com/problems/lru-cache","MEDIUM","Hash Table, Linked List, Design, Doubly-Linked List"
"Snakes and Ladders","https://leetcode.com/problems/snakes-and-ladders","MEDIUM","Array, Breadth-First Search, Matrix"
"Number of Valid Words in a Sentence","https://leetcode.com/problems/number-of-valid-words-in-a-sentence","EASY","String"
"Find Third Transaction","https://leetcode.com/problems/find-third-transaction","MEDIUM","Database"
"Maximum Difference Between Increasing Elements","https://leetcode.com/problems/maximum-difference-between-increasing-elements","EASY","Array"
"Merge Intervals","https://leetcode.com/problems/merge-intervals","MEDIUM","Array, Sorting"
"Maximum Subarray","https://leetcode.com/problems/maximum-subarray","MEDIUM","Array, Divide and Conquer, Dynamic Programming"
"Implement Router","https://leetcode.com/problems/implement-router","MEDIUM","Array, Hash Table, Binary Search, Design, Queue, Ordered Set"
"Find the Largest Area of Square Inside Two Rectangles","https://leetcode.com/problems/find-the-largest-area-of-square-inside-two-rectangles","MEDIUM","Array, Math, Geometry"
"Minimum Cost to Make Array Equal","https://leetcode.com/problems/minimum-cost-to-make-array-equal","HARD","Array, Binary Search, Greedy, Sorting, Prefix Sum"
"Word Search II","https://leetcode.com/problems/word-search-ii","HARD","Array, String, Backtracking, Trie, Matrix"
"Number of Equal Count Substrings","https://leetcode.com/problems/number-of-equal-count-substrings","MEDIUM","Hash Table, String, Sliding Window, Counting"
"Sum of k-Mirror Numbers","https://leetcode.com/problems/sum-of-k-mirror-numbers","HARD","Math, Enumeration"
"Check if Binary String Has at Most One Segment of Ones","https://leetcode.com/problems/check-if-binary-string-has-at-most-one-segment-of-ones","EASY","String"
"Max Points on a Line","https://leetcode.com/problems/max-points-on-a-line","HARD","Array, Hash Table, Math, Geometry"
"Happy Number","https://leetcode.com/problems/happy-number","EASY","Hash Table, Math, Two Pointers"
"Stone Game","https://leetcode.com/problems/stone-game","MEDIUM","Array, Math, Dynamic Programming, Game Theory"
"Two Sum","https://leetcode.com/problems/two-sum","EASY","Array, Hash Table"
"Cherry Pickup","https://leetcode.com/problems/cherry-pickup","HARD","Array, Dynamic Programming, Matrix"
"Valid Parentheses","https://leetcode.com/problems/valid-parentheses","EASY","String, Stack"
"Trapping Rain Water","https://leetcode.com/problems/trapping-rain-water","HARD","Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
"Longest Substring Without Repeating Characters","https://leetcode.com/problems/longest-substring-without-repeating-characters","MEDIUM","Hash Table, String, Sliding Window"
"Linked List Cycle","https://leetcode.com/problems/linked-list-cycle","EASY","Hash Table, Linked List, Two Pointers"
"Decode String","https://leetcode.com/problems/decode-string","MEDIUM","String, Stack, Recursion"
"Best Time to Buy and Sell Stock","https://leetcode.com/problems/best-time-to-buy-and-sell-stock","EASY","Array, Dynamic Programming"
"Remove Boxes","https://leetcode.com/problems/remove-boxes","HARD","Array, Dynamic Programming, Memoization"
"Merge Sorted Array","https://leetcode.com/problems/merge-sorted-array","EASY","Array, Two Pointers, Sorting"
"Strange Printer","https://leetcode.com/problems/strange-printer","HARD","String, Dynamic Programming"
"Longest Consecutive Sequence","https://leetcode.com/problems/longest-consecutive-sequence","MEDIUM","Array, Hash Table, Union Find"
"Letter Combinations of a Phone Number","https://leetcode.com/problems/letter-combinations-of-a-phone-number","MEDIUM","Hash Table, String, Backtracking"
"Move Zeroes","https://leetcode.com/problems/move-zeroes","EASY","Array, Two Pointers"
"3Sum","https://leetcode.com/problems/3sum","MEDIUM","Array, Two Pointers, Sorting"
"Reverse Linked List","https://leetcode.com/problems/reverse-linked-list","EASY","Linked List, Recursion"
"Number of Islands","https://leetcode.com/problems/number-of-islands","MEDIUM","Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
"Search a 2D Matrix","https://leetcode.com/problems/search-a-2d-matrix","MEDIUM","Array, Binary Search, Matrix"
"Word Search","https://leetcode.com/problems/word-search","MEDIUM","Array, String, Backtracking, Depth-First Search, Matrix"
"Gas Station","https://leetcode.com/problems/gas-station","MEDIUM","Array, Greedy"
