Title,Link,Difficulty,Topic
"Last Stone Weight","https://leetcode.com/problems/last-stone-weight","EASY","Array, Heap (Priority Queue)"
"LRU Cache","https://leetcode.com/problems/lru-cache","MEDIUM","Hash Table, Linked List, Design, Doubly-Linked List"
"Group Anagrams","https://leetcode.com/problems/group-anagrams","MEDIUM","Array, Hash Table, String, Sorting"
"Minimum Operations to Reduce an Integer to 0","https://leetcode.com/problems/minimum-operations-to-reduce-an-integer-to-0","MEDIUM","Dynamic Programming, Greedy, Bit Manipulation"
"Special Binary String","https://leetcode.com/problems/special-binary-string","HARD","String, Recursion"
"Best Time to Buy and Sell Stock","https://leetcode.com/problems/best-time-to-buy-and-sell-stock","EASY","Array, Dynamic Programming"
"Two Sum","https://leetcode.com/problems/two-sum","EASY","Array, Hash Table"
"Longest Substring Without Repeating Characters","https://leetcode.com/problems/longest-substring-without-repeating-characters","MEDIUM","Hash Table, String, Sliding Window"
"Add Two Numbers","https://leetcode.com/problems/add-two-numbers","MEDIUM","Linked List, Math, Recursion"
"Maximum Subarray","https://leetcode.com/problems/maximum-subarray","MEDIUM","Array, Divide and Conquer, Dynamic Programming"
"Number of Islands","https://leetcode.com/problems/number-of-islands","MEDIUM","Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
"Maximum Number of Visible Points","https://leetcode.com/problems/maximum-number-of-visible-points","HARD","Array, Math, Geometry, Sliding Window, Sorting"
"Search in Rotated Sorted Array","https://leetcode.com/problems/search-in-rotated-sorted-array","MEDIUM","Array, Binary Search"
"Reverse Bits","https://leetcode.com/problems/reverse-bits","EASY","Divide and Conquer, Bit Manipulation"
"Dot Product of Two Sparse Vectors","https://leetcode.com/problems/dot-product-of-two-sparse-vectors","MEDIUM","Array, Hash Table, Two Pointers, Design"
"Valid Parentheses","https://leetcode.com/problems/valid-parentheses","EASY","String, Stack"
"Missing Number","https://leetcode.com/problems/missing-number","EASY","Array, Hash Table, Math, Binary Search, Bit Manipulation, Sorting"
"Merge k Sorted Lists","https://leetcode.com/problems/merge-k-sorted-lists","HARD","Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
"Merge Intervals","https://leetcode.com/problems/merge-intervals","MEDIUM","Array, Sorting"
"Move Zeroes","https://leetcode.com/problems/move-zeroes","EASY","Array, Two Pointers"
"Task Scheduler II","https://leetcode.com/problems/task-scheduler-ii","MEDIUM","Array, Hash Table, Simulation"
"Fibonacci Number","https://leetcode.com/problems/fibonacci-number","EASY","Math, Dynamic Programming, Recursion, Memoization"
"Copy List with Random Pointer","https://leetcode.com/problems/copy-list-with-random-pointer","MEDIUM","Hash Table, Linked List"
"Find Median from Data Stream","https://leetcode.com/problems/find-median-from-data-stream","HARD","Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
"Rotate Image","https://leetcode.com/problems/rotate-image","MEDIUM","Array, Math, Matrix"
"Insert Delete GetRandom O(1)","https://leetcode.com/problems/insert-delete-getrandom-o1","MEDIUM","Array, Hash Table, Math, Design, Randomized"
"Rectangle Area","https://leetcode.com/problems/rectangle-area","MEDIUM","Math, Geometry"
"String to Integer (atoi)","https://leetcode.com/problems/string-to-integer-atoi","MEDIUM","String"
"Generate Parentheses","https://leetcode.com/problems/generate-parentheses","MEDIUM","String, Dynamic Programming, Backtracking"
"Trapping Rain Water","https://leetcode.com/problems/trapping-rain-water","HARD","Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
"Find the Duplicate Number","https://leetcode.com/problems/find-the-duplicate-number","MEDIUM","Array, Two Pointers, Binary Search, Bit Manipulation"
"Climbing Stairs","https://leetcode.com/problems/climbing-stairs","EASY","Math, Dynamic Programming, Memoization"
"Break a Palindrome","https://leetcode.com/problems/break-a-palindrome","MEDIUM","String, Greedy"
"Kth Largest Element in an Array","https://leetcode.com/problems/kth-largest-element-in-an-array","MEDIUM","Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
"Binary Tree Maximum Path Sum","https://leetcode.com/problems/binary-tree-maximum-path-sum","HARD","Dynamic Programming, Tree, Depth-First Search, Binary Tree"
"Snapshot Array","https://leetcode.com/problems/snapshot-array","MEDIUM","Array, Hash Table, Binary Search, Design"
"Delete Duplicate Folders in System","https://leetcode.com/problems/delete-duplicate-folders-in-system","HARD","Array, Hash Table, String, Trie, Hash Function"
"Spiral Matrix","https://leetcode.com/problems/spiral-matrix","MEDIUM","Array, Matrix, Simulation"
