Title,Link,Difficulty,Topic
"Smallest Range Covering Elements from K Lists","https://leetcode.com/problems/smallest-range-covering-elements-from-k-lists","HARD","Array, Hash Table, Greedy, Sliding Window, Sorting, Heap (Priority Queue)"
"Shortest Bridge","https://leetcode.com/problems/shortest-bridge","MEDIUM","Array, Depth-First Search, Breadth-First Search, Matrix"
"Trapping Rain Water","https://leetcode.com/problems/trapping-rain-water","HARD","Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
"Maximum Points You Can Obtain from Cards","https://leetcode.com/problems/maximum-points-you-can-obtain-from-cards","MEDIUM","Array, Sliding Window, Prefix Sum"
"Design Movie Rental System","https://leetcode.com/problems/design-movie-rental-system","HARD","Array, Hash Table, Design, Heap (Priority Queue), Ordered Set"
"Minimum Number of Coins to be Added","https://leetcode.com/problems/minimum-number-of-coins-to-be-added","MEDIUM","Array, Greedy, Sorting"
"Capacity To Ship Packages Within D Days","https://leetcode.com/problems/capacity-to-ship-packages-within-d-days","MEDIUM","Array, Binary Search"
"Minimum Cost to Reach City With Discounts","https://leetcode.com/problems/minimum-cost-to-reach-city-with-discounts","MEDIUM","Graph, Heap (Priority Queue), Shortest Path"
"Minimum Limit of Balls in a Bag","https://leetcode.com/problems/minimum-limit-of-balls-in-a-bag","MEDIUM","Array, Binary Search"
"The Score of Students Solving Math Expression","https://leetcode.com/problems/the-score-of-students-solving-math-expression","HARD","Array, Math, String, Dynamic Programming, Stack, Memoization"
"Numbers With Same Consecutive Differences","https://leetcode.com/problems/numbers-with-same-consecutive-differences","MEDIUM","Backtracking, Breadth-First Search"
"Triples with Bitwise AND Equal To Zero","https://leetcode.com/problems/triples-with-bitwise-and-equal-to-zero","HARD","Array, Hash Table, Bit Manipulation"
"Minimum Total Cost to Make Arrays Unequal","https://leetcode.com/problems/minimum-total-cost-to-make-arrays-unequal","HARD","Array, Hash Table, Greedy, Counting"
"Container With Most Water","https://leetcode.com/problems/container-with-most-water","MEDIUM","Array, Two Pointers, Greedy"
"Binary Tree Maximum Path Sum","https://leetcode.com/problems/binary-tree-maximum-path-sum","HARD","Dynamic Programming, Tree, Depth-First Search, Binary Tree"
"Koko Eating Bananas","https://leetcode.com/problems/koko-eating-bananas","MEDIUM","Array, Binary Search"
