Title,Link,Difficulty,Topic
"Burst Balloons","https://leetcode.com/problems/burst-balloons","HARD","Array, Dynamic Programming"
"Longest Increasing Subsequence","https://leetcode.com/problems/longest-increasing-subsequence","MEDIUM","Array, Binary Search, Dynamic Programming"
"Partition Array Into Two Arrays to Minimize Sum Difference","https://leetcode.com/problems/partition-array-into-two-arrays-to-minimize-sum-difference","HARD","Array, Two Pointers, Binary Search, Dynamic Programming, Bit Manipulation, Ordered Set, Bitmask"
"Number of Islands","https://leetcode.com/problems/number-of-islands","MEDIUM","Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
"LRU Cache","https://leetcode.com/problems/lru-cache","MEDIUM","Hash Table, Linked List, Design, Doubly-Linked List"
"Minimum Cost of a Path With Special Roads","https://leetcode.com/problems/minimum-cost-of-a-path-with-special-roads","MEDIUM","Array, Graph, Heap (Priority Queue), Shortest Path"
"Maximum Height by Stacking Cuboids","https://leetcode.com/problems/maximum-height-by-stacking-cuboids","HARD","Array, Dynamic Programming, Sorting"
"Trapping Rain Water","https://leetcode.com/problems/trapping-rain-water","HARD","Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
"Vertical Order Traversal of a Binary Tree","https://leetcode.com/problems/vertical-order-traversal-of-a-binary-tree","HARD","Hash Table, Tree, Depth-First Search, Breadth-First Search, Sorting, Binary Tree"
"Minimize Deviation in Array","https://leetcode.com/problems/minimize-deviation-in-array","HARD","Array, Greedy, Heap (Priority Queue), Ordered Set"
"Largest 1-Bordered Square","https://leetcode.com/problems/largest-1-bordered-square","MEDIUM","Array, Dynamic Programming, Matrix"
"Number of Paths with Max Score","https://leetcode.com/problems/number-of-paths-with-max-score","HARD","Array, Dynamic Programming, Matrix"
"Maximum Product of Two Elements in an Array","https://leetcode.com/problems/maximum-product-of-two-elements-in-an-array","EASY","Array, Sorting, Heap (Priority Queue)"
"Number of Nodes in the Sub-Tree With the Same Label","https://leetcode.com/problems/number-of-nodes-in-the-sub-tree-with-the-same-label","MEDIUM","Hash Table, Tree, Depth-First Search, Breadth-First Search, Counting"
"Find the Width of Columns of a Grid","https://leetcode.com/problems/find-the-width-of-columns-of-a-grid","EASY","Array, Matrix"
"Design Graph With Shortest Path Calculator","https://leetcode.com/problems/design-graph-with-shortest-path-calculator","HARD","Graph, Design, Heap (Priority Queue), Shortest Path"
"Stone Game IX","https://leetcode.com/problems/stone-game-ix","MEDIUM","Array, Math, Greedy, Counting, Game Theory"
"Faulty Keyboard","https://leetcode.com/problems/faulty-keyboard","EASY","String, Simulation"
"Minimum Number of Operations to Make String Sorted","https://leetcode.com/problems/minimum-number-of-operations-to-make-string-sorted","HARD","Math, String, Combinatorics"
"Count Prefix and Suffix Pairs II","https://leetcode.com/problems/count-prefix-and-suffix-pairs-ii","HARD","Array, String, Trie, Rolling Hash, String Matching, Hash Function"
"Mark Elements on Array by Performing Queries","https://leetcode.com/problems/mark-elements-on-array-by-performing-queries","MEDIUM","Array, Hash Table, Sorting, Heap (Priority Queue), Simulation"
