Title,Link,Difficulty,Topic
"Apply Operations to Make Two Strings Equal","https://leetcode.com/problems/apply-operations-to-make-two-strings-equal","MEDIUM","String, Dynamic Programming"
"Split Array Largest Sum","https://leetcode.com/problems/split-array-largest-sum","HARD","Array, Binary Search, Dynamic Programming, Greedy, Prefix Sum"
"Task Scheduler","https://leetcode.com/problems/task-scheduler","MEDIUM","Array, Hash Table, Greedy, Sorting, Heap (Priority Queue), Counting"
"Evaluate Division","https://leetcode.com/problems/evaluate-division","MEDIUM","Array, String, Depth-First Search, Breadth-First Search, Union Find, Graph, Shortest Path"
"IPO","https://leetcode.com/problems/ipo","HARD","Array, Greedy, Sorting, Heap (Priority Queue)"
"Next Greater Element II","https://leetcode.com/problems/next-greater-element-ii","MEDIUM","Array, Stack, Monotonic Stack"
"Insert Delete GetRandom O(1)","https://leetcode.com/problems/insert-delete-getrandom-o1","MEDIUM","Array, Hash Table, Math, Design, Randomized"
"Maximum Profit in Job Scheduling","https://leetcode.com/problems/maximum-profit-in-job-scheduling","HARD","Array, Binary Search, Dynamic Programming, Sorting"
"Capacity To Ship Packages Within D Days","https://leetcode.com/problems/capacity-to-ship-packages-within-d-days","MEDIUM","Array, Binary Search"
"Longest Valid Parentheses","https://leetcode.com/problems/longest-valid-parentheses","HARD","String, Dynamic Programming, Stack"
"Minimum Window Substring","https://leetcode.com/problems/minimum-window-substring","HARD","Hash Table, String, Sliding Window"
"Count Univalue Subtrees","https://leetcode.com/problems/count-univalue-subtrees","MEDIUM","Tree, Depth-First Search, Binary Tree"
"Trapping Rain Water","https://leetcode.com/problems/trapping-rain-water","HARD","Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
"Minimum Operations to Write the Letter Y on a Grid","https://leetcode.com/problems/minimum-operations-to-write-the-letter-y-on-a-grid","MEDIUM","Array, Hash Table, Matrix, Counting"
"Substring with Concatenation of All Words","https://leetcode.com/problems/substring-with-concatenation-of-all-words","HARD","Hash Table, String, Sliding Window"
"Interleaving String","https://leetcode.com/problems/interleaving-string","MEDIUM","String, Dynamic Programming"
"Longest Substring Without Repeating Characters","https://leetcode.com/problems/longest-substring-without-repeating-characters","MEDIUM","Hash Table, String, Sliding Window"
"Number of Islands","https://leetcode.com/problems/number-of-islands","MEDIUM","Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
"Find a Peak Element II","https://leetcode.com/problems/find-a-peak-element-ii","MEDIUM","Array, Binary Search, Matrix"
"Insert Delete GetRandom O(1) - Duplicates allowed","https://leetcode.com/problems/insert-delete-getrandom-o1-duplicates-allowed","HARD","Array, Hash Table, Math, Design, Randomized"
"Reverse Nodes in k-Group","https://leetcode.com/problems/reverse-nodes-in-k-group","HARD","Linked List, Recursion"
