Title,Link,Difficulty,Topic
"Minimum Edge Weight Equilibrium Queries in a Tree","https://leetcode.com/problems/minimum-edge-weight-equilibrium-queries-in-a-tree","HARD","Array, Tree, Graph, Strongly Connected Component"
"Apply Operations on Array to Maximize Sum of Squares","https://leetcode.com/problems/apply-operations-on-array-to-maximize-sum-of-squares","HARD","Array, Hash Table, Greedy, Bit Manipulation"
"Next Greater Numerically Balanced Number","https://leetcode.com/problems/next-greater-numerically-balanced-number","MEDIUM","Hash Table, Math, Backtracking, Counting, Enumeration"
"Maximize Score After N Operations","https://leetcode.com/problems/maximize-score-after-n-operations","HARD","Array, Math, Dynamic Programming, Backtracking, Bit Manipulation, Number Theory, Bitmask"
"Maximum Score of Non-overlapping Intervals","https://leetcode.com/problems/maximum-score-of-non-overlapping-intervals","HARD","Array, Binary Search, Dynamic Programming, Sorting"
"Closest Subsequence Sum","https://leetcode.com/problems/closest-subsequence-sum","HARD","Array, Two Pointers, Dynamic Programming, Bit Manipulation, Sorting, Bitmask"
"Minimum Time to Revert Word to Initial State II","https://leetcode.com/problems/minimum-time-to-revert-word-to-initial-state-ii","HARD","String, Rolling Hash, String Matching, Hash Function"
"Choose Edges to Maximize Score in a Tree","https://leetcode.com/problems/choose-edges-to-maximize-score-in-a-tree","MEDIUM","Dynamic Programming, Tree, Depth-First Search"
"Number of Same-End Substrings","https://leetcode.com/problems/number-of-same-end-substrings","MEDIUM","Array, Hash Table, String, Counting, Prefix Sum"
"Count the Number of Powerful Integers","https://leetcode.com/problems/count-the-number-of-powerful-integers","HARD","Math, String, Dynamic Programming"
"Create Components With Same Value","https://leetcode.com/problems/create-components-with-same-value","HARD","Array, Math, Tree, Depth-First Search, Enumeration"
"Minimum Time to Revert Word to Initial State I","https://leetcode.com/problems/minimum-time-to-revert-word-to-initial-state-i","MEDIUM","String, Rolling Hash, String Matching, Hash Function"
"Apply Bitwise Operations to Make Strings Equal","https://leetcode.com/problems/apply-bitwise-operations-to-make-strings-equal","MEDIUM","String, Bit Manipulation"
"Maximum Subarray Sum After One Operation","https://leetcode.com/problems/maximum-subarray-sum-after-one-operation","MEDIUM","Array, Dynamic Programming"
"Number of Great Partitions","https://leetcode.com/problems/number-of-great-partitions","HARD","Array, Dynamic Programming"
"Asteroid Collision","https://leetcode.com/problems/asteroid-collision","MEDIUM","Array, Stack, Simulation"
"Robot Collisions","https://leetcode.com/problems/robot-collisions","HARD","Array, Stack, Sorting, Simulation"
"Insert Delete GetRandom O(1)","https://leetcode.com/problems/insert-delete-getrandom-o1","MEDIUM","Array, Hash Table, Math, Design, Randomized"
"Number of Provinces","https://leetcode.com/problems/number-of-provinces","MEDIUM","Depth-First Search, Breadth-First Search, Union Find, Graph"
"Minimize the Difference Between Target and Chosen Elements","https://leetcode.com/problems/minimize-the-difference-between-target-and-chosen-elements","MEDIUM","Array, Dynamic Programming, Matrix"
"Serialize and Deserialize Binary Tree","https://leetcode.com/problems/serialize-and-deserialize-binary-tree","HARD","String, Tree, Depth-First Search, Breadth-First Search, Design, Binary Tree"
"Minimum Number of Food Buckets to Feed the Hamsters","https://leetcode.com/problems/minimum-number-of-food-buckets-to-feed-the-hamsters","MEDIUM","String, Dynamic Programming, Greedy"
"Validate IP Address","https://leetcode.com/problems/validate-ip-address","MEDIUM","String"
"Partition Labels","https://leetcode.com/problems/partition-labels","MEDIUM","Hash Table, Two Pointers, String, Greedy"
"Max Points on a Line","https://leetcode.com/problems/max-points-on-a-line","HARD","Array, Hash Table, Math, Geometry"
"Container With Most Water","https://leetcode.com/problems/container-with-most-water","MEDIUM","Array, Two Pointers, Greedy"
"Set Matrix Zeroes","https://leetcode.com/problems/set-matrix-zeroes","MEDIUM","Array, Hash Table, Matrix"
"Trapping Rain Water","https://leetcode.com/problems/trapping-rain-water","HARD","Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
"Largest Rectangle in Histogram","https://leetcode.com/problems/largest-rectangle-in-histogram","HARD","Array, Stack, Monotonic Stack"
"Sort Colors","https://leetcode.com/problems/sort-colors","MEDIUM","Array, Two Pointers, Sorting"
"First Missing Positive","https://leetcode.com/problems/first-missing-positive","HARD","Array, Hash Table"
"Longest Univalue Path","https://leetcode.com/problems/longest-univalue-path","MEDIUM","Tree, Depth-First Search, Binary Tree"
"Russian Doll Envelopes","https://leetcode.com/problems/russian-doll-envelopes","HARD","Array, Binary Search, Dynamic Programming, Sorting"
"Sum of Matrix After Queries","https://leetcode.com/problems/sum-of-matrix-after-queries","MEDIUM","Array, Hash Table"
"LRU Cache","https://leetcode.com/problems/lru-cache","MEDIUM","Hash Table, Linked List, Design, Doubly-Linked List"
"Best Time to Buy and Sell Stock","https://leetcode.com/problems/best-time-to-buy-and-sell-stock","EASY","Array, Dynamic Programming"
"Count Valid Paths in a Tree","https://leetcode.com/problems/count-valid-paths-in-a-tree","HARD","Math, Dynamic Programming, Tree, Depth-First Search, Number Theory"
"Longest Valid Parentheses","https://leetcode.com/problems/longest-valid-parentheses","HARD","String, Dynamic Programming, Stack"
"Single Element in a Sorted Array","https://leetcode.com/problems/single-element-in-a-sorted-array","MEDIUM","Array, Binary Search"
"3Sum","https://leetcode.com/problems/3sum","MEDIUM","Array, Two Pointers, Sorting"
"Sum of Subarray Minimums","https://leetcode.com/problems/sum-of-subarray-minimums","MEDIUM","Array, Dynamic Programming, Stack, Monotonic Stack"
