Title,Link,Difficulty,Topic
"Longest Univalue Path","https://leetcode.com/problems/longest-univalue-path","MEDIUM","Tree, Depth-First Search, Binary Tree"
"Merge Intervals","https://leetcode.com/problems/merge-intervals","MEDIUM","Array, Sorting"
"Path Sum III","https://leetcode.com/problems/path-sum-iii","MEDIUM","Tree, Depth-First Search, Binary Tree"
"Car Pooling","https://leetcode.com/problems/car-pooling","MEDIUM","Array, Sorting, Heap (Priority Queue), Simulation, Prefix Sum"
"Largest Rectangle in Histogram","https://leetcode.com/problems/largest-rectangle-in-histogram","HARD","Array, Stack, Monotonic Stack"
"Minimum Cost For Tickets","https://leetcode.com/problems/minimum-cost-for-tickets","MEDIUM","Array, Dynamic Programming"
"Find Peak Element","https://leetcode.com/problems/find-peak-element","MEDIUM","Array, Binary Search"
"Koko Eating Bananas","https://leetcode.com/problems/koko-eating-bananas","MEDIUM","Array, Binary Search"
"Sliding Window Maximum","https://leetcode.com/problems/sliding-window-maximum","HARD","Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
"Longest Consecutive Sequence","https://leetcode.com/problems/longest-consecutive-sequence","MEDIUM","Array, Hash Table, Union Find"
"Unique Paths II","https://leetcode.com/problems/unique-paths-ii","MEDIUM","Array, Dynamic Programming, Matrix"
"Rotting Oranges","https://leetcode.com/problems/rotting-oranges","MEDIUM","Array, Breadth-First Search, Matrix"
"Divide Two Integers","https://leetcode.com/problems/divide-two-integers","MEDIUM","Math, Bit Manipulation"
"Maximum Width Ramp","https://leetcode.com/problems/maximum-width-ramp","MEDIUM","Array, Two Pointers, Stack, Monotonic Stack"
"Number of Islands","https://leetcode.com/problems/number-of-islands","MEDIUM","Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
"Next Permutation","https://leetcode.com/problems/next-permutation","MEDIUM","Array, Two Pointers"
"Longest Repeating Character Replacement","https://leetcode.com/problems/longest-repeating-character-replacement","MEDIUM","Hash Table, String, Sliding Window"
"Longest Palindromic Substring","https://leetcode.com/problems/longest-palindromic-substring","MEDIUM","Two Pointers, String, Dynamic Programming"
"Search in Rotated Sorted Array","https://leetcode.com/problems/search-in-rotated-sorted-array","MEDIUM","Array, Binary Search"
"Gas Station","https://leetcode.com/problems/gas-station","MEDIUM","Array, Greedy"
"Word Search","https://leetcode.com/problems/word-search","MEDIUM","Array, String, Backtracking, Depth-First Search, Matrix"
"Rabbits in Forest","https://leetcode.com/problems/rabbits-in-forest","MEDIUM","Array, Hash Table, Math, Greedy"
"Count Sub Islands","https://leetcode.com/problems/count-sub-islands","MEDIUM","Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
"Make Array Empty","https://leetcode.com/problems/make-array-empty","HARD","Array, Binary Search, Greedy, Binary Indexed Tree, Segment Tree, Sorting, Ordered Set"
"Find the Distance Value Between Two Arrays","https://leetcode.com/problems/find-the-distance-value-between-two-arrays","EASY","Array, Two Pointers, Binary Search, Sorting"
"LRU Cache","https://leetcode.com/problems/lru-cache","MEDIUM","Hash Table, Linked List, Design, Doubly-Linked List"
"Open the Lock","https://leetcode.com/problems/open-the-lock","MEDIUM","Array, Hash Table, String, Breadth-First Search"
"Maximum Sum BST in Binary Tree","https://leetcode.com/problems/maximum-sum-bst-in-binary-tree","HARD","Dynamic Programming, Tree, Depth-First Search, Binary Search Tree, Binary Tree"
"Jump Game II","https://leetcode.com/problems/jump-game-ii","MEDIUM","Array, Dynamic Programming, Greedy"
"Trapping Rain Water","https://leetcode.com/problems/trapping-rain-water","HARD","Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
"Maximum Good Subarray Sum","https://leetcode.com/problems/maximum-good-subarray-sum","MEDIUM","Array, Hash Table, Prefix Sum"
