Title,Link,Difficulty,Topic
"Two Sum","https://leetcode.com/problems/two-sum","EASY","Array, Hash Table"
"Best Time to Buy and Sell Stock","https://leetcode.com/problems/best-time-to-buy-and-sell-stock","EASY","Array, Dynamic Programming"
"Word Search","https://leetcode.com/problems/word-search","MEDIUM","Array, String, Backtracking, Depth-First Search, Matrix"
"Text Justification","https://leetcode.com/problems/text-justification","HARD","Array, String, Simulation"
"Spiral Matrix","https://leetcode.com/problems/spiral-matrix","MEDIUM","Array, Matrix, Simulation"
"Valid Sudoku","https://leetcode.com/problems/valid-sudoku","MEDIUM","Array, Hash Table, Matrix"
"Group Anagrams","https://leetcode.com/problems/group-anagrams","MEDIUM","Array, Hash Table, String, Sorting"
"Roman to Integer","https://leetcode.com/problems/roman-to-integer","EASY","Hash Table, Math, String"
"Letter Combinations of a Phone Number","https://leetcode.com/problems/letter-combinations-of-a-phone-number","MEDIUM","Hash Table, String, Backtracking"
"Generate Parentheses","https://leetcode.com/problems/generate-parentheses","MEDIUM","String, Dynamic Programming, Backtracking"
"Minimum Window Substring","https://leetcode.com/problems/minimum-window-substring","HARD","Hash Table, String, Sliding Window"
"Longest Common Prefix","https://leetcode.com/problems/longest-common-prefix","EASY","String, Trie"
"Add Two Numbers","https://leetcode.com/problems/add-two-numbers","MEDIUM","Linked List, Math, Recursion"
"Merge Sorted Array","https://leetcode.com/problems/merge-sorted-array","EASY","Array, Two Pointers, Sorting"
"Word Break","https://leetcode.com/problems/word-break","MEDIUM","Array, Hash Table, String, Dynamic Programming, Trie, Memoization"
"Trapping Rain Water","https://leetcode.com/problems/trapping-rain-water","HARD","Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
"Rotate Image","https://leetcode.com/problems/rotate-image","MEDIUM","Array, Math, Matrix"
"Search in Rotated Sorted Array","https://leetcode.com/problems/search-in-rotated-sorted-array","MEDIUM","Array, Binary Search"
"Valid Palindrome","https://leetcode.com/problems/valid-palindrome","EASY","Two Pointers, String"
"Remove Element","https://leetcode.com/problems/remove-element","EASY","Array, Two Pointers"
"3Sum","https://leetcode.com/problems/3sum","MEDIUM","Array, Two Pointers, Sorting"
"Decode Ways","https://leetcode.com/problems/decode-ways","MEDIUM","String, Dynamic Programming"
"Next Permutation","https://leetcode.com/problems/next-permutation","MEDIUM","Array, Two Pointers"
"Sqrt(x)","https://leetcode.com/problems/sqrtx","EASY","Math, Binary Search"
"Median of Two Sorted Arrays","https://leetcode.com/problems/median-of-two-sorted-arrays","HARD","Array, Binary Search, Divide and Conquer"
"Valid Parentheses","https://leetcode.com/problems/valid-parentheses","EASY","String, Stack"
"Largest Rectangle in Histogram","https://leetcode.com/problems/largest-rectangle-in-histogram","HARD","Array, Stack, Monotonic Stack"
"Maximum Depth of Binary Tree","https://leetcode.com/problems/maximum-depth-of-binary-tree","EASY","Tree, Depth-First Search, Breadth-First Search, Binary Tree"
"Merge k Sorted Lists","https://leetcode.com/problems/merge-k-sorted-lists","HARD","Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
"Regular Expression Matching","https://leetcode.com/problems/regular-expression-matching","HARD","String, Dynamic Programming, Recursion"
"Longest Consecutive Sequence","https://leetcode.com/problems/longest-consecutive-sequence","MEDIUM","Array, Hash Table, Union Find"
"Merge Two Sorted Lists","https://leetcode.com/problems/merge-two-sorted-lists","EASY","Linked List, Recursion"
"Subsets","https://leetcode.com/problems/subsets","MEDIUM","Array, Backtracking, Bit Manipulation"
"Word Break II","https://leetcode.com/problems/word-break-ii","HARD","Array, Hash Table, String, Dynamic Programming, Backtracking, Trie, Memoization"
"Maximum Subarray","https://leetcode.com/problems/maximum-subarray","MEDIUM","Array, Divide and Conquer, Dynamic Programming"
"Reverse Integer","https://leetcode.com/problems/reverse-integer","MEDIUM","Math"
"Sudoku Solver","https://leetcode.com/problems/sudoku-solver","HARD","Array, Hash Table, Backtracking, Matrix"
"Merge Intervals","https://leetcode.com/problems/merge-intervals","MEDIUM","Array, Sorting"
"Remove Duplicates from Sorted Array","https://leetcode.com/problems/remove-duplicates-from-sorted-array","EASY","Array, Two Pointers"
"Longest Palindromic Substring","https://leetcode.com/problems/longest-palindromic-substring","MEDIUM","Two Pointers, String, Dynamic Programming"
"Combination Sum","https://leetcode.com/problems/combination-sum","MEDIUM","Array, Backtracking"
"Swap Nodes in Pairs","https://leetcode.com/problems/swap-nodes-in-pairs","MEDIUM","Linked List, Recursion"
"Find First and Last Position of Element in Sorted Array","https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array","MEDIUM","Array, Binary Search"
"Find the Index of the First Occurrence in a String","https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string","EASY","Two Pointers, String, String Matching"
"String to Integer (atoi)","https://leetcode.com/problems/string-to-integer-atoi","MEDIUM","String"
"Container With Most Water","https://leetcode.com/problems/container-with-most-water","MEDIUM","Array, Two Pointers, Greedy"
"Longest Substring Without Repeating Characters","https://leetcode.com/problems/longest-substring-without-repeating-characters","MEDIUM","Hash Table, String, Sliding Window"
"Jump Game II","https://leetcode.com/problems/jump-game-ii","MEDIUM","Array, Dynamic Programming, Greedy"
"Copy List with Random Pointer","https://leetcode.com/problems/copy-list-with-random-pointer","MEDIUM","Hash Table, Linked List"
"Clone Graph","https://leetcode.com/problems/clone-graph","MEDIUM","Hash Table, Depth-First Search, Breadth-First Search, Graph"
"Climbing Stairs","https://leetcode.com/problems/climbing-stairs","EASY","Math, Dynamic Programming, Memoization"
"Jump Game","https://leetcode.com/problems/jump-game","MEDIUM","Array, Dynamic Programming, Greedy"
"Palindrome Number","https://leetcode.com/problems/palindrome-number","EASY","Math"
"Insert Interval","https://leetcode.com/problems/insert-interval","MEDIUM","Array"
"Word Ladder","https://leetcode.com/problems/word-ladder","HARD","Hash Table, String, Breadth-First Search"
"Plus One","https://leetcode.com/problems/plus-one","EASY","Array, Math"
"Search Insert Position","https://leetcode.com/problems/search-insert-position","EASY","Array, Binary Search"
"Zigzag Conversion","https://leetcode.com/problems/zigzag-conversion","MEDIUM","String"
"Longest Valid Parentheses","https://leetcode.com/problems/longest-valid-parentheses","HARD","String, Dynamic Programming, Stack"
