Title,Link,Difficulty,Topic
"Zigzag Conversion","https://leetcode.com/problems/zigzag-conversion","MEDIUM","String"
"LRU Cache","https://leetcode.com/problems/lru-cache","MEDIUM","Hash Table, Linked List, Design, Doubly-Linked List"
"Minimum Replacements to Sort the Array","https://leetcode.com/problems/minimum-replacements-to-sort-the-array","HARD","Array, Math, Greedy"
"Count Vowel Strings in Ranges","https://leetcode.com/problems/count-vowel-strings-in-ranges","MEDIUM","Array, String, Prefix Sum"
"Count the Number of Vowel Strings in Range","https://leetcode.com/problems/count-the-number-of-vowel-strings-in-range","EASY","Array, String, Counting"
"Meeting Scheduler","https://leetcode.com/problems/meeting-scheduler","MEDIUM","Array, Two Pointers, Sorting"
"Maximum Number of Integers to Choose From a Range I","https://leetcode.com/problems/maximum-number-of-integers-to-choose-from-a-range-i","MEDIUM","Array, Hash Table, Binary Search, Greedy, Sorting"
"Number of Valid Move Combinations On Chessboard","https://leetcode.com/problems/number-of-valid-move-combinations-on-chessboard","HARD","Array, String, Backtracking, Simulation"
"Word Search","https://leetcode.com/problems/word-search","MEDIUM","Array, String, Backtracking, Depth-First Search, Matrix"
"Time Needed to Rearrange a Binary String","https://leetcode.com/problems/time-needed-to-rearrange-a-binary-string","MEDIUM","String, Dynamic Programming, Simulation"
"Number of Islands","https://leetcode.com/problems/number-of-islands","MEDIUM","Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
"Maximum Frequency Score of a Subarray","https://leetcode.com/problems/maximum-frequency-score-of-a-subarray","HARD","Array, Hash Table, Math, Stack, Sliding Window"
"Minimum Non-Zero Product of the Array Elements","https://leetcode.com/problems/minimum-non-zero-product-of-the-array-elements","MEDIUM","Math, Greedy, Recursion"
"Maximum Number of Integers to Choose From a Range II","https://leetcode.com/problems/maximum-number-of-integers-to-choose-from-a-range-ii","MEDIUM","Array, Binary Search, Greedy, Sorting"
"Paint House III","https://leetcode.com/problems/paint-house-iii","HARD","Array, Dynamic Programming"
"Maximum Sum Obtained of Any Permutation","https://leetcode.com/problems/maximum-sum-obtained-of-any-permutation","MEDIUM","Array, Greedy, Sorting, Prefix Sum"
"Count Array Pairs Divisible by K","https://leetcode.com/problems/count-array-pairs-divisible-by-k","HARD","Array, Math, Number Theory"
"Smallest Greater Multiple Made of Two Digits","https://leetcode.com/problems/smallest-greater-multiple-made-of-two-digits","MEDIUM","Math, Enumeration"
"Best Time to Buy and Sell Stock","https://leetcode.com/problems/best-time-to-buy-and-sell-stock","EASY","Array, Dynamic Programming"
"Group Anagrams","https://leetcode.com/problems/group-anagrams","MEDIUM","Array, Hash Table, String, Sorting"
"Longest Increasing Subsequence","https://leetcode.com/problems/longest-increasing-subsequence","MEDIUM","Array, Binary Search, Dynamic Programming"
"Maximal Square","https://leetcode.com/problems/maximal-square","MEDIUM","Array, Dynamic Programming, Matrix"
"Two Sum","https://leetcode.com/problems/two-sum","EASY","Array, Hash Table"
"Product of Array Except Self","https://leetcode.com/problems/product-of-array-except-self","MEDIUM","Array, Prefix Sum"
"Coin Change","https://leetcode.com/problems/coin-change","MEDIUM","Array, Dynamic Programming, Breadth-First Search"
"Pairs of Songs With Total Durations Divisible by 60","https://leetcode.com/problems/pairs-of-songs-with-total-durations-divisible-by-60","MEDIUM","Array, Hash Table, Counting"
"Longest Substring Without Repeating Characters","https://leetcode.com/problems/longest-substring-without-repeating-characters","MEDIUM","Hash Table, String, Sliding Window"
"Minimum Absolute Difference","https://leetcode.com/problems/minimum-absolute-difference","EASY","Array, Sorting"
"Merge Intervals","https://leetcode.com/problems/merge-intervals","MEDIUM","Array, Sorting"
"Merge Sorted Array","https://leetcode.com/problems/merge-sorted-array","EASY","Array, Two Pointers, Sorting"
"Subarray Sum Equals K","https://leetcode.com/problems/subarray-sum-equals-k","MEDIUM","Array, Hash Table, Prefix Sum"
"Find the Smallest Divisor Given a Threshold","https://leetcode.com/problems/find-the-smallest-divisor-given-a-threshold","MEDIUM","Array, Binary Search"
"Maximum Number of Events That Can Be Attended","https://leetcode.com/problems/maximum-number-of-events-that-can-be-attended","MEDIUM","Array, Greedy, Sorting, Heap (Priority Queue)"
"Loud and Rich","https://leetcode.com/problems/loud-and-rich","MEDIUM","Array, Depth-First Search, Graph, Topological Sort"
"Reorganize String","https://leetcode.com/problems/reorganize-string","MEDIUM","Hash Table, String, Greedy, Sorting, Heap (Priority Queue), Counting"
"Valid Anagram","https://leetcode.com/problems/valid-anagram","EASY","Hash Table, String, Sorting"
"Count Vowel Substrings of a String","https://leetcode.com/problems/count-vowel-substrings-of-a-string","EASY","Hash Table, String"
"Valid Parentheses","https://leetcode.com/problems/valid-parentheses","EASY","String, Stack"
"Trapping Rain Water","https://leetcode.com/problems/trapping-rain-water","HARD","Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
"House Robber","https://leetcode.com/problems/house-robber","MEDIUM","Array, Dynamic Programming"
"Meeting Rooms III","https://leetcode.com/problems/meeting-rooms-iii","HARD","Array, Hash Table, Sorting, Heap (Priority Queue), Simulation"
"Random Pick with Weight","https://leetcode.com/problems/random-pick-with-weight","MEDIUM","Array, Math, Binary Search, Prefix Sum, Randomized"
"Sort Colors","https://leetcode.com/problems/sort-colors","MEDIUM","Array, Two Pointers, Sorting"
"Last Stone Weight","https://leetcode.com/problems/last-stone-weight","EASY","Array, Heap (Priority Queue)"
"Top K Frequent Elements","https://leetcode.com/problems/top-k-frequent-elements","MEDIUM","Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
"Minimum Increment to Make Array Unique","https://leetcode.com/problems/minimum-increment-to-make-array-unique","MEDIUM","Array, Greedy, Sorting, Counting"
"Maximum Subarray","https://leetcode.com/problems/maximum-subarray","MEDIUM","Array, Divide and Conquer, Dynamic Programming"
"Median of Two Sorted Arrays","https://leetcode.com/problems/median-of-two-sorted-arrays","HARD","Array, Binary Search, Divide and Conquer"
"Kth Largest Element in an Array","https://leetcode.com/problems/kth-largest-element-in-an-array","MEDIUM","Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
"Rotate Image","https://leetcode.com/problems/rotate-image","MEDIUM","Array, Math, Matrix"
"Koko Eating Bananas","https://leetcode.com/problems/koko-eating-bananas","MEDIUM","Array, Binary Search"
"Palindromic Substrings","https://leetcode.com/problems/palindromic-substrings","MEDIUM","Two Pointers, String, Dynamic Programming"
"Jump Game","https://leetcode.com/problems/jump-game","MEDIUM","Array, Dynamic Programming, Greedy"
"Text Justification","https://leetcode.com/problems/text-justification","HARD","Array, String, Simulation"
"Minimum Number of Swaps to Make the String Balanced","https://leetcode.com/problems/minimum-number-of-swaps-to-make-the-string-balanced","MEDIUM","Two Pointers, String, Stack, Greedy"
"3Sum Smaller","https://leetcode.com/problems/3sum-smaller","MEDIUM","Array, Two Pointers, Binary Search, Sorting"
"Count and Say","https://leetcode.com/problems/count-and-say","MEDIUM","String"
"Subarray Product Less Than K","https://leetcode.com/problems/subarray-product-less-than-k","MEDIUM","Array, Binary Search, Sliding Window, Prefix Sum"
"Reverse Linked List","https://leetcode.com/problems/reverse-linked-list","EASY","Linked List, Recursion"
"Happy Number","https://leetcode.com/problems/happy-number","EASY","Hash Table, Math, Two Pointers"
"Find First and Last Position of Element in Sorted Array","https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array","MEDIUM","Array, Binary Search"
"Search in Rotated Sorted Array","https://leetcode.com/problems/search-in-rotated-sorted-array","MEDIUM","Array, Binary Search"
"Degree of an Array","https://leetcode.com/problems/degree-of-an-array","EASY","Array, Hash Table"
"Valid Sudoku","https://leetcode.com/problems/valid-sudoku","MEDIUM","Array, Hash Table, Matrix"
"Flatten Deeply Nested Array","https://leetcode.com/problems/flatten-deeply-nested-array","MEDIUM",""
"LFU Cache","https://leetcode.com/problems/lfu-cache","HARD","Hash Table, Linked List, Design, Doubly-Linked List"
"3Sum","https://leetcode.com/problems/3sum","MEDIUM","Array, Two Pointers, Sorting"
"Longest Consecutive Sequence","https://leetcode.com/problems/longest-consecutive-sequence","MEDIUM","Array, Hash Table, Union Find"
"Meeting Rooms II","https://leetcode.com/problems/meeting-rooms-ii","MEDIUM","Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
"Squares of a Sorted Array","https://leetcode.com/problems/squares-of-a-sorted-array","EASY","Array, Two Pointers, Sorting"
"Course Schedule","https://leetcode.com/problems/course-schedule","MEDIUM","Depth-First Search, Breadth-First Search, Graph, Topological Sort"
"Search a 2D Matrix II","https://leetcode.com/problems/search-a-2d-matrix-ii","MEDIUM","Array, Binary Search, Divide and Conquer, Matrix"
"Maximum Profit in Job Scheduling","https://leetcode.com/problems/maximum-profit-in-job-scheduling","HARD","Array, Binary Search, Dynamic Programming, Sorting"
"Spiral Matrix","https://leetcode.com/problems/spiral-matrix","MEDIUM","Array, Matrix, Simulation"
"Flatten Binary Tree to Linked List","https://leetcode.com/problems/flatten-binary-tree-to-linked-list","MEDIUM","Linked List, Stack, Tree, Depth-First Search, Binary Tree"
"Find Median from Data Stream","https://leetcode.com/problems/find-median-from-data-stream","HARD","Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
"Find Pivot Index","https://leetcode.com/problems/find-pivot-index","EASY","Array, Prefix Sum"
"Path Sum","https://leetcode.com/problems/path-sum","EASY","Tree, Depth-First Search, Breadth-First Search, Binary Tree"
"Maximum Product Subarray","https://leetcode.com/problems/maximum-product-subarray","MEDIUM","Array, Dynamic Programming"
"Lexicographically Smallest Palindrome","https://leetcode.com/problems/lexicographically-smallest-palindrome","EASY","Two Pointers, String, Greedy"
"Maximum Population Year","https://leetcode.com/problems/maximum-population-year","EASY","Array, Counting, Prefix Sum"
"Min Stack","https://leetcode.com/problems/min-stack","MEDIUM","Stack, Design"
"Word Search II","https://leetcode.com/problems/word-search-ii","HARD","Array, String, Backtracking, Trie, Matrix"
"Delete Node in a Linked List","https://leetcode.com/problems/delete-node-in-a-linked-list","MEDIUM","Linked List"
"Minimum Window Substring","https://leetcode.com/problems/minimum-window-substring","HARD","Hash Table, String, Sliding Window"
"First Unique Character in a String","https://leetcode.com/problems/first-unique-character-in-a-string","EASY","Hash Table, String, Queue, Counting"
"Maximum Frequency Stack","https://leetcode.com/problems/maximum-frequency-stack","HARD","Hash Table, Stack, Design, Ordered Set"
"Invalid Transactions","https://leetcode.com/problems/invalid-transactions","MEDIUM","Array, Hash Table, String, Sorting"
"Container With Most Water","https://leetcode.com/problems/container-with-most-water","MEDIUM","Array, Two Pointers, Greedy"
"Process Tasks Using Servers","https://leetcode.com/problems/process-tasks-using-servers","MEDIUM","Array, Heap (Priority Queue)"
"Find Peak Element","https://leetcode.com/problems/find-peak-element","MEDIUM","Array, Binary Search"
"Intersection of Two Arrays","https://leetcode.com/problems/intersection-of-two-arrays","EASY","Array, Hash Table, Two Pointers, Binary Search, Sorting"
"Find Minimum in Rotated Sorted Array","https://leetcode.com/problems/find-minimum-in-rotated-sorted-array","MEDIUM","Array, Binary Search"
"Minimum Number of Removals to Make Mountain Array","https://leetcode.com/problems/minimum-number-of-removals-to-make-mountain-array","HARD","Array, Binary Search, Dynamic Programming, Greedy"
"Divide Players Into Teams of Equal Skill","https://leetcode.com/problems/divide-players-into-teams-of-equal-skill","MEDIUM","Array, Hash Table, Two Pointers, Sorting"
"Jump Game II","https://leetcode.com/problems/jump-game-ii","MEDIUM","Array, Dynamic Programming, Greedy"
"Number of Substrings Containing All Three Characters","https://leetcode.com/problems/number-of-substrings-containing-all-three-characters","MEDIUM","Hash Table, String, Sliding Window"
"First Missing Positive","https://leetcode.com/problems/first-missing-positive","HARD","Array, Hash Table"
"Merge In Between Linked Lists","https://leetcode.com/problems/merge-in-between-linked-lists","MEDIUM","Linked List"
"Design Twitter","https://leetcode.com/problems/design-twitter","MEDIUM","Hash Table, Linked List, Design, Heap (Priority Queue)"
