Title,Link,Difficulty,Topic
"Two Sum","https://leetcode.com/problems/two-sum","EASY","Array, Hash Table"
"Number of Unique Subjects Taught by Each Teacher","https://leetcode.com/problems/number-of-unique-subjects-taught-by-each-teacher","EASY","Database"
"Reverse Degree of a String","https://leetcode.com/problems/reverse-degree-of-a-string","EASY","String, Simulation"
"Remove Duplicates from Sorted Array","https://leetcode.com/problems/remove-duplicates-from-sorted-array","EASY","Array, Two Pointers"
"Count Elements With Maximum Frequency","https://leetcode.com/problems/count-elements-with-maximum-frequency","EASY","Array, Hash Table, Counting"
"Best Time to Buy and Sell Stock","https://leetcode.com/problems/best-time-to-buy-and-sell-stock","EASY","Array, Dynamic Programming"
"Add Two Numbers","https://leetcode.com/problems/add-two-numbers","MEDIUM","Linked List, Math, Recursion"
"Longest Common Prefix","https://leetcode.com/problems/longest-common-prefix","EASY","String, Trie"
"Palindrome Number","https://leetcode.com/problems/palindrome-number","EASY","Math"
"Rotate Array","https://leetcode.com/problems/rotate-array","MEDIUM","Array, Math, Two Pointers"
"Find First and Last Position of Element in Sorted Array","https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array","MEDIUM","Array, Binary Search"
"Subarray Sum Equals K","https://leetcode.com/problems/subarray-sum-equals-k","MEDIUM","Array, Hash Table, Prefix Sum"
"Balanced Binary Tree","https://leetcode.com/problems/balanced-binary-tree","EASY","Tree, Depth-First Search, Binary Tree"
"Longest Substring Without Repeating Characters","https://leetcode.com/problems/longest-substring-without-repeating-characters","MEDIUM","Hash Table, String, Sliding Window"
"Trapping Rain Water","https://leetcode.com/problems/trapping-rain-water","HARD","Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
"Move Zeroes","https://leetcode.com/problems/move-zeroes","EASY","Array, Two Pointers"
"Valid Anagram","https://leetcode.com/problems/valid-anagram","EASY","Hash Table, String, Sorting"
"Fibonacci Number","https://leetcode.com/problems/fibonacci-number","EASY","Math, Dynamic Programming, Recursion, Memoization"
"Exchange Seats","https://leetcode.com/problems/exchange-seats","MEDIUM","Database"
"Median of Two Sorted Arrays","https://leetcode.com/problems/median-of-two-sorted-arrays","HARD","Array, Binary Search, Divide and Conquer"
"Longest Happy String","https://leetcode.com/problems/longest-happy-string","MEDIUM","String, Greedy, Heap (Priority Queue)"
"Valid Palindrome","https://leetcode.com/problems/valid-palindrome","EASY","Two Pointers, String"
"Reverse Words in a String","https://leetcode.com/problems/reverse-words-in-a-string","MEDIUM","Two Pointers, String"
"Nth Highest Salary","https://leetcode.com/problems/nth-highest-salary","MEDIUM","Database"
"Coin Change","https://leetcode.com/problems/coin-change","MEDIUM","Array, Dynamic Programming, Breadth-First Search"
