Title,Link,Difficulty,Topic
"Happy Number","https://leetcode.com/problems/happy-number","EASY","Hash Table, Math, Two Pointers"
"Valid Parentheses","https://leetcode.com/problems/valid-parentheses","EASY","String, Stack"
"Evaluate Division","https://leetcode.com/problems/evaluate-division","MEDIUM","Array, String, Depth-First Search, Breadth-First Search, Union Find, Graph, Shortest Path"
"Find the Maximum Sum of Node Values","https://leetcode.com/problems/find-the-maximum-sum-of-node-values","HARD","Array, Dynamic Programming, Greedy, Bit Manipulation, Tree, Sorting"
"Pairs of Songs With Total Durations Divisible by 60","https://leetcode.com/problems/pairs-of-songs-with-total-durations-divisible-by-60","MEDIUM","Array, Hash Table, Counting"
"Maximum Subtree of the Same Color","https://leetcode.com/problems/maximum-subtree-of-the-same-color","MEDIUM","Array, Dynamic Programming, Tree, Depth-First Search"
"Group Anagrams","https://leetcode.com/problems/group-anagrams","MEDIUM","Array, Hash Table, String, Sorting"
"Best Time to Buy and Sell Stock","https://leetcode.com/problems/best-time-to-buy-and-sell-stock","EASY","Array, Dynamic Programming"
"Path with Maximum Probability","https://leetcode.com/problems/path-with-maximum-probability","MEDIUM","Array, Graph, Heap (Priority Queue), Shortest Path"
"Maximum Profit From Trading Stocks","https://leetcode.com/problems/maximum-profit-from-trading-stocks","MEDIUM","Array, Dynamic Programming"
"Number of Islands","https://leetcode.com/problems/number-of-islands","MEDIUM","Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
"Valid Anagram","https://leetcode.com/problems/valid-anagram","EASY","Hash Table, String, Sorting"
"Coin Change","https://leetcode.com/problems/coin-change","MEDIUM","Array, Dynamic Programming, Breadth-First Search"
"Generate Parentheses","https://leetcode.com/problems/generate-parentheses","MEDIUM","String, Dynamic Programming, Backtracking"
"Maximize Greatness of an Array","https://leetcode.com/problems/maximize-greatness-of-an-array","MEDIUM","Array, Two Pointers, Greedy, Sorting"
"Boundary of Binary Tree","https://leetcode.com/problems/boundary-of-binary-tree","MEDIUM","Tree, Depth-First Search, Binary Tree"
"Longest Palindromic Substring","https://leetcode.com/problems/longest-palindromic-substring","MEDIUM","Two Pointers, String, Dynamic Programming"
