Title,Link,Difficulty,Topic
"Maximize Area of Square Hole in Grid","https://leetcode.com/problems/maximize-area-of-square-hole-in-grid","MEDIUM","Array, Sorting"
"Minimum Value to Get Positive Step by Step Sum","https://leetcode.com/problems/minimum-value-to-get-positive-step-by-step-sum","EASY","Array, Prefix Sum"
"Sort Colors","https://leetcode.com/problems/sort-colors","MEDIUM","Array, Two Pointers, Sorting"
"Valid Parentheses","https://leetcode.com/problems/valid-parentheses","EASY","String, Stack"
"Merge Sorted Array","https://leetcode.com/problems/merge-sorted-array","EASY","Array, Two Pointers, Sorting"
"Next Greater Element I","https://leetcode.com/problems/next-greater-element-i","EASY","Array, Hash Table, Stack, Monotonic Stack"
"Maximum Profit in Job Scheduling","https://leetcode.com/problems/maximum-profit-in-job-scheduling","HARD","Array, Binary Search, Dynamic Programming, Sorting"
"Happy Number","https://leetcode.com/problems/happy-number","EASY","Hash Table, Math, Two Pointers"
"Fair Candy Swap","https://leetcode.com/problems/fair-candy-swap","EASY","Array, Hash Table, Binary Search, Sorting"
"Count Good Meals","https://leetcode.com/problems/count-good-meals","MEDIUM","Array, Hash Table"
"Integer to Roman","https://leetcode.com/problems/integer-to-roman","MEDIUM","Hash Table, Math, String"
"Daily Temperatures","https://leetcode.com/problems/daily-temperatures","MEDIUM","Array, Stack, Monotonic Stack"
"Course Schedule","https://leetcode.com/problems/course-schedule","MEDIUM","Depth-First Search, Breadth-First Search, Graph, Topological Sort"
"Maximum Score From Removing Substrings","https://leetcode.com/problems/maximum-score-from-removing-substrings","MEDIUM","String, Stack, Greedy"
"Immediate Food Delivery II","https://leetcode.com/problems/immediate-food-delivery-ii","MEDIUM","Database"
"Letter Combinations of a Phone Number","https://leetcode.com/problems/letter-combinations-of-a-phone-number","MEDIUM","Hash Table, String, Backtracking"
"K Closest Points to Origin","https://leetcode.com/problems/k-closest-points-to-origin","MEDIUM","Array, Math, Divide and Conquer, Geometry, Sorting, Heap (Priority Queue), Quickselect"
"Minimum Number of Work Sessions to Finish the Tasks","https://leetcode.com/problems/minimum-number-of-work-sessions-to-finish-the-tasks","MEDIUM","Array, Dynamic Programming, Backtracking, Bit Manipulation, Bitmask"
"Two City Scheduling","https://leetcode.com/problems/two-city-scheduling","MEDIUM","Array, Greedy, Sorting"
"Best Time to Buy and Sell Stock","https://leetcode.com/problems/best-time-to-buy-and-sell-stock","EASY","Array, Dynamic Programming"
"Median of Two Sorted Arrays","https://leetcode.com/problems/median-of-two-sorted-arrays","HARD","Array, Binary Search, Divide and Conquer"
"Merge Two Sorted Lists","https://leetcode.com/problems/merge-two-sorted-lists","EASY","Linked List, Recursion"
"Subarray Sum Equals K","https://leetcode.com/problems/subarray-sum-equals-k","MEDIUM","Array, Hash Table, Prefix Sum"
"First Missing Positive","https://leetcode.com/problems/first-missing-positive","HARD","Array, Hash Table"
"LRU Cache","https://leetcode.com/problems/lru-cache","MEDIUM","Hash Table, Linked List, Design, Doubly-Linked List"
"Longest Consecutive Sequence","https://leetcode.com/problems/longest-consecutive-sequence","MEDIUM","Array, Hash Table, Union Find"
"Majority Element","https://leetcode.com/problems/majority-element","EASY","Array, Hash Table, Divide and Conquer, Sorting, Counting"
"Maximum Length of Pair Chain","https://leetcode.com/problems/maximum-length-of-pair-chain","MEDIUM","Array, Dynamic Programming, Greedy, Sorting"
"Subsets II","https://leetcode.com/problems/subsets-ii","MEDIUM","Array, Backtracking, Bit Manipulation"
"Trapping Rain Water","https://leetcode.com/problems/trapping-rain-water","HARD","Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
"Edit Distance","https://leetcode.com/problems/edit-distance","MEDIUM","String, Dynamic Programming"
