Title,Link,Difficulty,Topic
"Rotting Oranges","https://leetcode.com/problems/rotting-oranges","MEDIUM","Array, Breadth-First Search, Matrix"
"Time Based Key-Value Store","https://leetcode.com/problems/time-based-key-value-store","MEDIUM","Hash Table, String, Binary Search, Design"
"Read N Characters Given read4 II - Call Multiple Times","https://leetcode.com/problems/read-n-characters-given-read4-ii-call-multiple-times","HARD","Array, Simulation, Interactive"
"Minimum Window Substring","https://leetcode.com/problems/minimum-window-substring","HARD","Hash Table, String, Sliding Window"
"Max Stack","https://leetcode.com/problems/max-stack","HARD","Linked List, Stack, Design, Doubly-Linked List, Ordered Set"
"Convert Sorted List to Binary Search Tree","https://leetcode.com/problems/convert-sorted-list-to-binary-search-tree","MEDIUM","Linked List, Divide and Conquer, Tree, Binary Search Tree, Binary Tree"
"Smallest Range Covering Elements from K Lists","https://leetcode.com/problems/smallest-range-covering-elements-from-k-lists","HARD","Array, Hash Table, Greedy, Sliding Window, Sorting, Heap (Priority Queue)"
"Check Completeness of a Binary Tree","https://leetcode.com/problems/check-completeness-of-a-binary-tree","MEDIUM","Tree, Breadth-First Search, Binary Tree"
"String Compression","https://leetcode.com/problems/string-compression","MEDIUM","Two Pointers, String"
"Car Pooling","https://leetcode.com/problems/car-pooling","MEDIUM","Array, Sorting, Heap (Priority Queue), Simulation, Prefix Sum"
"Range Sum Query 2D - Immutable","https://leetcode.com/problems/range-sum-query-2d-immutable","MEDIUM","Array, Design, Matrix, Prefix Sum"
"Min Stack","https://leetcode.com/problems/min-stack","MEDIUM","Stack, Design"
"Word Ladder II","https://leetcode.com/problems/word-ladder-ii","HARD","Hash Table, String, Backtracking, Breadth-First Search"
"Longest Consecutive Sequence","https://leetcode.com/problems/longest-consecutive-sequence","MEDIUM","Array, Hash Table, Union Find"
"Implement Trie (Prefix Tree)","https://leetcode.com/problems/implement-trie-prefix-tree","MEDIUM","Hash Table, String, Design, Trie"
"Water and Jug Problem","https://leetcode.com/problems/water-and-jug-problem","MEDIUM","Math, Depth-First Search, Breadth-First Search"
"Longest Substring Without Repeating Characters","https://leetcode.com/problems/longest-substring-without-repeating-characters","MEDIUM","Hash Table, String, Sliding Window"
"Decode Ways","https://leetcode.com/problems/decode-ways","MEDIUM","String, Dynamic Programming"
"Asteroid Collision","https://leetcode.com/problems/asteroid-collision","MEDIUM","Array, Stack, Simulation"
"Meeting Rooms II","https://leetcode.com/problems/meeting-rooms-ii","MEDIUM","Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
"Product of Array Except Self","https://leetcode.com/problems/product-of-array-except-self","MEDIUM","Array, Prefix Sum"
"Maximum Candies You Can Get from Boxes","https://leetcode.com/problems/maximum-candies-you-can-get-from-boxes","HARD","Array, Breadth-First Search, Graph"
"Sort List","https://leetcode.com/problems/sort-list","MEDIUM","Linked List, Two Pointers, Divide and Conquer, Sorting, Merge Sort"
"Process Tasks Using Servers","https://leetcode.com/problems/process-tasks-using-servers","MEDIUM","Array, Heap (Priority Queue)"
"Find Minimum Time to Finish All Jobs","https://leetcode.com/problems/find-minimum-time-to-finish-all-jobs","HARD","Array, Dynamic Programming, Backtracking, Bit Manipulation, Bitmask"
"Coordinate With Maximum Network Quality","https://leetcode.com/problems/coordinate-with-maximum-network-quality","MEDIUM","Array, Enumeration"
